customer_id,name,age,city,city_tier,persona,declared_monthly_income,income_type,existing_emi_ratio,expense_ratio,savings_rate,bounce_prob,credit_score,thin_file,engagement_level,actual_monthly_income,monthly_emi_obligation,foir,income_volatility_actual,savings_rate_actual,n_emi_bounces,n_calculator_uses,n_page_visits,n_logins,recency_weighted_engagement,responded_to_past_offer,abandoned_application,repayment_capacity_score,conversion_propensity_score,recommended_product,eligible_loan_amount,converted
CUST00001,Vihaan Kumar,39,Hyderabad,Tier 1,Self-Employed - Thriving,129100,business_upi,0.328435913540969,0.3173877665258832,0.234384363937054,0.02,774.0,False,medium,111145.0,36506.666666666664,0.32845981975497474,0.36891422573341126,0.23439950815001423,1,3,1,7,4,False,True,37.693805584695305,64.35000000000001,Home Loan,1417000,0
CUST00002,Aarav Singh,35,Hyderabad,Tier 1,Dormant/Uninterested,111000,fixed_salary,0.0798256476029972,0.4299768875559046,0.2089882961206433,0.01,,True,none,112463.5,8977.0,0.07982145318258813,0.05449090166920555,0.2089848410076751,0,0,1,0,2,False,False,82.2466529076946,7.700000000000001,Home Loan,1985000,0
CUST00003,Ayaan Gupta,39,Mumbai,Tier 1,Gig Worker (Delivery/Freelance),34000,gig_multi_platform,0.1633921597230254,0.6555742683343284,0.0715313762107588,0.08,,True,medium_high,33088.333333333336,5407.0,0.1634110713746033,0.3630423261949019,0.0715357880421095,0,2,5,20,16,False,False,54.05936357879888,95.7,Auto Loan,216000,1
CUST00004,Shaurya Singh,27,Lucknow,Tier 2,Self-Employed - Struggling,28400,business_upi,0.461425654654876,0.6459463573387636,0.031449123658188,0.15,648.0,False,high,31848.333333333332,14700.166666666666,0.46156784761107333,0.36048723008767375,0.031445915537181436,1,5,4,42,16,True,False,11.993907725635413,100.0,Auto Loan,0,0
CUST00005,Sriya Singh,40,Patna,Tier 3,Salaried - Stable (IT/PSU),111900,fixed_salary,0.2409143672429846,0.3091648767311324,0.2455796551303093,0.01,790.0,False,medium,109385.83333333333,26352.166666666668,0.24091023365304773,0.07693964588114965,0.2455756763139651,0,0,3,14,10,False,False,71.13461954592913,50.6,Home Loan,1772000,1
CUST00006,Ishaan Singh,36,Delhi,Tier 1,Salaried - Stable (IT/PSU),88000,fixed_salary,0.1325308194312169,0.3710541400455043,0.3340350348755386,0.01,808.0,False,medium,85768.5,11366.666666666666,0.13252728760170301,0.05117262069114866,0.33402900443247424,0,0,1,5,2,False,False,87.4230753593807,15.950000000000001,Home Loan,1533000,0
CUST00007,Aditya Iyer,32,Indore,Tier 2,Salaried - Stable (IT/PSU),122900,fixed_salary,0.297904670127319,0.4279999519708185,0.3113899487549292,0.01,776.0,False,medium,122219.66666666667,36409.5,0.29790213795379356,0.0444948060875843,0.31138469258902685,0,2,3,12,8,False,False,72.6219657507667,62.7,Home Loan,1206000,1
CUST00008,Shaurya Menon,25,Hyderabad,Tier 1,Over-Leveraged Customer,109300,fixed_salary,0.4665471513028868,0.482627224837109,0.0283590025739251,0.1,652.0,False,high,111745.16666666667,52133.833333333336,0.46654217706656964,0.12148733459558987,0.028356185427855937,1,6,10,42,34,True,False,19.963253519255815,100.0,Home Loan,205000,1
CUST00009,Shaurya Verma,53,Lucknow,Tier 2,Gig Worker (Delivery/Freelance),37100,gig_multi_platform,0.1209445479288259,0.7489977964183213,0.103897728966729,0.08,660.0,False,medium_high,41159.333333333336,4978.333333333333,0.12095272032264856,0.2689654456230273,0.10390109979105588,1,1,4,20,14,False,False,48.312656095765675,79.2,Auto Loan,193000,0
CUST00010,Anvi Rao,47,Jaipur,Tier 2,Gig Worker (Delivery/Freelance),20500,gig_multi_platform,0.1136364118260691,0.6094232750849469,0.0609649130350659,0.08,685.0,False,medium_high,22560.833333333332,2563.8333333333335,0.11364089683448456,0.2677996686360879,0.06096110516012263,0,4,2,21,12,True,False,60.726382172516786,100.0,Personal Loan,225000,1
CUST00011,Sai Das,49,Nagpur,Tier 2,Salaried - Stable (IT/PSU),56400,fixed_salary,0.2058228690198273,0.4942156755227236,0.3721559404468996,0.01,819.0,False,medium,57258.166666666664,11784.666666666666,0.20581634643093125,0.033056473436207434,0.37214487598566726,0,0,1,6,6,False,False,82.1388428953911,22.0,Auto Loan,618000,0
CUST00012,Aarav Joshi,29,Patna,Tier 3,Dormant/Uninterested,179300,fixed_salary,0.1010263209546568,0.3587000257294852,0.1316315508689339,0.01,826.0,False,none,184094.66666666666,18597.833333333332,0.10102320545226731,0.12853589563106604,0.13162883588878188,0,0,0,0,0,False,False,72.06199080730661,0.0,Home Loan,3581000,0
CUST00013,Aarav Bose,38,Indore,Tier 2,Young Professional - New to Credit,52900,fixed_salary,0.0106410822797704,0.4250600387132834,0.5683338696344934,0.01,,True,high,52273.166666666664,556.0,0.010636432331438374,0.06210327335961942,0.5683253676998078,0,5,6,47,22,False,False,96.9027311402072,100.0,Auto Loan,1062000,1
CUST00014,Kavya Iyer,34,Bangalore,Tier 1,Salaried - Variable (Sales/Incentive-based),62400,variable_salary,0.384486816123655,0.5336986988791405,0.1898416876690343,0.05,776.0,False,medium_high,58498.666666666664,22491.5,0.384478848520764,0.39337237399573916,0.18983338651593198,0,4,5,29,24,False,True,43.9333117946664,100.0,Auto Loan,172000,0
CUST00015,Navya Kumar,29,Jaipur,Tier 2,Salaried - Stable (IT/PSU),137900,fixed_salary,0.1115850332988375,0.4756019198408081,0.3893898890595988,0.01,771.0,False,medium,132398.5,14773.0,0.11157981397070209,0.05716231648323342,0.3893875937667975,0,1,3,15,8,True,True,88.90419167497672,97.35000000000001,Home Loan,1968000,1
CUST00016,Aditya Bose,53,Delhi,Tier 1,Salaried - Stable (IT/PSU),147800,fixed_salary,0.2319501645494734,0.4893697359409982,0.2330253917948255,0.01,758.0,False,medium,154689.16666666666,35879.666666666664,0.23194686117860008,0.06588377033470504,0.23302105835896722,0,2,2,12,8,True,False,71.31706788940656,79.2,Home Loan,1552000,1
CUST00017,Kavya Menon,49,Hyderabad,Tier 1,Salaried - Variable (Sales/Incentive-based),95700,variable_salary,0.3425897945638244,0.4297984599994858,0.2007530439457424,0.05,755.0,False,medium_high,97296.0,33332.0,0.34258345666831114,0.2302569081667809,0.20074823219865154,1,4,5,19,24,False,False,39.017608730761545,100.0,Home Loan,797000,0
CUST00018,Atharv Gupta,55,Bhopal,Tier 2,Self-Employed - Struggling,29200,business_upi,0.4176617436914466,0.5460229465193154,0.0188086953780623,0.15,627.0,False,high,25214.333333333332,10534.833333333334,0.41781129780680304,0.3037333074987274,0.018798831352537577,0,5,7,49,22,False,False,31.632798159135085,100.0,Personal Loan,33000,0
CUST00019,Aditya Bose,25,Hyderabad,Tier 1,Self-Employed - Thriving,94800,business_upi,0.2160856978160997,0.4028312239617178,0.2056954527929093,0.02,,True,medium,84432.0,18246.5,0.21610882129998105,0.3741442299997544,0.20571781630977198,1,3,1,12,10,False,False,44.45482941794328,62.7,Home Loan,1158000,1
CUST00020,Navya Verma,30,Meerut,Tier 3,Salaried - Variable (Sales/Incentive-based),96100,variable_salary,0.3569238848581507,0.5114993995533287,0.1285614871542816,0.05,737.0,False,medium_high,103364.33333333333,36892.5,0.3569171184128633,0.15866760634876723,0.12855659431202898,0,3,3,17,14,False,False,50.01942415340462,86.35000000000001,Home Loan,490000,0
CUST00021,Vihaan Joshi,49,Jaipur,Tier 2,Gig Worker (Delivery/Freelance),25600,gig_multi_platform,0.2093613774189776,0.7346729094586604,0.1484165211365966,0.08,,True,medium_high,26109.333333333332,5467.0,0.2093887243386784,0.4581291208924788,0.1484271269533245,1,4,2,17,8,True,False,37.678899497937145,100.0,Personal Loan,53000,1
CUST00022,Vihaan Kumar,47,Meerut,Tier 3,Salaried - Stable (IT/PSU),83900,fixed_salary,0.1380417816881623,0.3897227095666263,0.2843763279668808,0.01,767.0,False,medium,80509.83333333333,11113.0,0.1380328282880559,0.05395036841381091,0.28436691998285923,0,1,2,11,4,False,False,83.20464664448471,42.35,Home Loan,1369000,0
CUST00023,Krishna Gupta,37,Delhi,Tier 1,Salaried - Variable (Sales/Incentive-based),66600,variable_salary,0.2101176659049762,0.5498564936825454,0.2254041377619927,0.05,744.0,False,medium_high,80139.33333333333,16838.333333333332,0.21011321947607917,0.17034540409777488,0.22539909657346788,0,2,5,29,12,False,False,68.75332691792778,100.0,Home Loan,693000,0
CUST00024,Aditya Pillai,37,Bangalore,Tier 1,Self-Employed - Thriving,169400,business_upi,0.3304885731021097,0.3329274242803053,0.1504310756702852,0.02,789.0,False,medium,177725.66666666666,58739.333333333336,0.3305056294626363,0.24764026619797222,0.15043690931904416,1,2,2,15,12,False,False,35.59676262932777,66.55000000000001,Home Loan,2153000,0
CUST00025,Sriya Patel,51,Pune,Tier 1,Self-Employed - Thriving,173100,business_upi,0.2611536646811236,0.4436816550592651,0.1809593650548128,0.02,799.0,False,medium,139424.66666666666,36413.5,0.2611697117200687,0.4937509088505898,0.18096869516154485,0,1,3,8,8,True,False,49.642872769169074,69.30000000000001,Home Loan,1481000,1
CUST00026,Ishaan Verma,25,Nagpur,Tier 2,Young Professional - New to Credit,52100,fixed_salary,0.0313604809769729,0.3100284674527907,0.495357703421787,0.01,,True,high,52092.5,1633.3333333333333,0.03135448161123642,0.025900073475593557,0.4953464190302507,0,4,4,32,30,False,False,96.52788434436849,100.0,Auto Loan,1235000,1
